"REVIEW_ID","ENTITY","ATTRIBUTE"
"ChZDSUhNMG9nS0VJQ0FnSURmaHF6OEVREAE","steak","horrible"
"ChdDSUhNMG9nS0VJQ0FnSURmLXZpY3hnRRAB","ordering","just order through 3rd party delivery"
"ChdDSUhNMG9nS0VJQ0FnSURmdXIyQTd3RRAB","woman with braids","attentive"
"ChZDSUhNMG9nS0VJQ0FnSURmOU43cFlnEAE","lady","angrily"
"ChdDSUhNMG9nS0VJQ0FnSURmX01fMG1RRRAB","auntie Anne’s","classic"
"ChZDSUhNMG9nS0VJQ0FnSURmLVBEN0tnEAE","customer service","bad"
"ChZDSUhNMG9nS0VJQ0FnSURmb3NHN0hnEAE","almond","only had 1"
"ChdDSUhNMG9nS0VJQ0FnSURmNUpqM2d3RRAB","ladies working","friendly"
"ChZDSUhNMG9nS0VJQ0FnSURmdXFyaWNnEAE","service","slow"
"ChZDSUhNMG9nS0VJQ0FnSURmeE5xUUVnEAE","guy working there","lack of customer service"
"ChZDSUhNMG9nS0VJQ0FnSURmb3RqZ2JBEAE","tastes","great"
"ChZDSUhNMG9nS0VJQ0FnSURmMnJqRmF3EAE","food preparation","wrong"
"ChdDSUhNMG9nS0VJQ0FnSURmdXIyQTd3RRAB","woman with braids","quick"
"ChdDSUhNMG9nS0VJQ0FnSURmeU1TQWh3RRAB","$35","out"
"ChdDSUhNMG9nS0VJQ0FnSURmbXVQYzZ3RRAB","taste","no consistency"
"ChZDSUhNMG9nS0VJQ0FnSURmcW9PdkJ3EAE","credit card machine","option to not tip"
"ChdDSUhNMG9nS0VJQ0FnSURmbFA3SXV3RRAB","cashier/manager","no greeting"
"ChZDSUhNMG9nS0VJQ0FnSURmX0x2Y1ZREAE","queso","half ladle"
"ChZDSUhNMG9nS0VJQ0FnSURmbktMSk9nEAE","Ada","informative"
"ChZDSUhNMG9nS0VJQ0FnSURmeHV5YUVnEAE","cinnamon roll","lacked softness"
"ChZDSUhNMG9nS0VJQ0FnSURmZ3RYd1l3EAE","staff","sweetness"
"ChdDSUhNMG9nS0VJQ0FnSURmZ3UyUS13RRAB","pretzels","full size"
"ChZDSUhNMG9nS0VJQ0FnSURmNXQyNlRBEAE","drink","Dr. Pepper"
"ChZDSUhNMG9nS0VJQ0FnSURmLUpHdVFBEAE","food experience","awful"
"ChdDSUhNMG9nS0VJQ0FnSURmZ3RXamdnRRAB","kid drink","extra cost"
"ChdDSUhNMG9nS0VJQ0FnSURmaHR6Ym53RRAB","location","disappointing"
"ChdDSUhNMG9nS0VJQ0FnSURmM0wzZGh3RRAB","food","delicious"
"ChdDSUhNMG9nS0VJQ0FnSURmdXFQbDZRRRAB","someone","hurt"
"ChdDSUhNMG9nS0VJQ0FnSUNKNHFHaHFBRRAB","restaurant","plenty of food"
"ChZDSUhNMG9nS0VJQ0FnSURmd3ZualhREAE","place","amazing"
"ChdDSUhNMG9nS0VJQ0FnSURmcHI2Mm9RRRAB","restaurant","closed by 9:50"
"ChdDSUhNMG9nS0VJQ0FnSURmM01xSDZnRRAB","cashier","not her fault"
"ChZDSUhNMG9nS0VJQ0FnSURmLU1LbEFREAE","another Carvel","accepted"
"ChZDSUhNMG9nS0VJQ0FnSURmZ3RYd1l3EAE","staff","sympathy"
"ChdDSUhNMG9nS0VJQ0FnSURmb3VUUzJRRRAB","restaurant","longest wait time"
"ChdDSUhNMG9nS0VJQ0FnSURmbFA3SXV3RRAB","cashier/manager","bothering"
"ChdDSUhNMG9nS0VJQ0FnSURmZ3JPNDV3RRAB","attitude","major"
"ChZDSUhNMG9nS0VJQ0FnSURmeExLVExnEAE","place","good"
"ChdDSUhNMG9nS0VJQ0FnSURmNU5tWW5BRRAB","orders","perfectly"
"ChdDSUhNMG9nS0VJQ0FnSURma3BiNHJ3RRAB","Jordan","absolute icon"
"ChZDSUhNMG9nS0VJQ0FnSURmNk9meUtBEAE","carrotcake","never have"
"ChZDSUhNMG9nS0VJQ0FnSURmNHFEaUZBEAE","treatment","uttermost respect"
"ChdDSUhNMG9nS0VJQ0FnSURmdW9PdnV3RRAB","restrooms","clean"
"ChZDSUhNMG9nS0VJQ0FnSURmLW82WlZREAE","cinnamon rolls","same as center of the roll"
"ChdDSUhNMG9nS0VJQ0FnSURmdktuRHVRRRAB","employees","ask for tips"
"ChdDSUhNMG9nS0VJQ0FnSURmNE5fa3FRRRAB","sales staff","attitude"
"ChZDSUhNMG9nS0VJQ0FnSURmdXRPRUJREAE","cost","additional"
"ChZDSUhNMG9nS0VJQ0FnSURmcEtfN0RREAE","treatment","sad"
"ChdDSUhNMG9nS0VJQ0FnSURmNUpqM2d3RRAB","ladies working","polite"
"ChdDSUhNMG9nS0VJQ0FnSURmdlBQc3J3RRAB","trash","bad"
"ChZDSUhNMG9nS0VJQ0FnSURmbXJmWFJREAE","cinnamon rolls","especially"
"ChdDSUhNMG9nS0VJQ0FnSURmNkp1ZG5nRRAB","restaurant","restaurant"
"ChZDSUhNMG9nS0VJQ0FnSURmX0x2Y1ZREAE","cheese","pinch"
"ChZDSUhNMG9nS0VJQ0FnSURma3RMeE5REAE","wait time","long"
"ChdDSUhNMG9nS0VJQ0FnSURmcHRxTG9BRRAB","guys upfront","had a attitude"
"ChZDSUhNMG9nS0VJQ0FnSUMwdk1IclJREAE","Thomas","helpful"
"ChZDSUhNMG9nS0VJQ0FnSURmdU9DNVZREAE","McAlister's","not returning"
"ChdDSUhNMG9nS0VJQ0FnSUNKNHFHaHFBRRAB","trashcans","over flowing"
"ChdDSUhNMG9nS0VJQ0FnSURmb3RubWdBRRAB","lady","fulfilling"
"ChZDSUhNMG9nS0VJQ0FnSURmbU9YdkxnEAE","avocado","brown"
"ChZDSUhNMG9nS0VJQ0FnSURmNUo2NEpnEAE","sandwich","high price"
"ChZDSUhNMG9nS0VJQ0FnSURmZ3ZlaktBEAE","food","quick"
"ChdDSUhNMG9nS0VJQ0FnSURmaHR6Ym53RRAB","cashier","unhelpful"
"ChdDSUhNMG9nS0VJQ0FnSURmNE5fa3FRRRAB","salt","barely any"
"ChZDSUhNMG9nS0VJQ0FnSUN2MUlhNVlBEAE","meat","not fitting right"
"ChdDSUhNMG9nS0VJQ0FnSURmZ3JPNDV3RRAB","amount of queso","same"
"ChdDSUhNMG9nS0VJQ0FnSURmLW92aWhnRRAB","food","cold"
"ChZDSUhNMG9nS0VJQ0FnSURmNk9meUtBEAE","Monroe's store","know how to"
"ChdDSUhNMG9nS0VJQ0FnSURmaHBiRnNRRRAB","rice","super dry"
"ChdDSUhNMG9nS0VJQ0FnSURmNU5tWW5BRRAB","experience","great"
"ChZDSUhNMG9nS0VJQ0FnSURmdklxaUpnEAE","combo price","great deal"
"ChdDSUhNMG9nS0VJQ0FnSURmdk8zSDV3RRAB","place","downhill"
"ChdDSUhNMG9nS0VJQ0FnSURmeHJhTWhBRRAB","quality difference","insane"
"ChdDSUhNMG9nS0VJQ0FnSURxbDd6VjNRRRAB","menu","same ole thing"
"ChdDSUhNMG9nS0VJQ0FnSURmM01xSDZnRRAB","customer","not be returning"
"ChZDSUhNMG9nS0VJQ0FnSURmNXQyNlRBEAE","food","McAlister's Club Sandwich"
"ChZDSUhNMG9nS0VJQ0FnSURmNUo2NEpnEAE","company","little to no attention"
"ChdDSUhNMG9nS0VJQ0FnSURmNkktWGxRRRAB","pregnancy_status","extra mad"
"ChdDSUhNMG9nS0VJQ0FnSURmeHJhTWhBRRAB","workers' instructions","grating"
"ChZDSUhNMG9nS0VJQ0FnSURmcFBfTmJnEAE","burrito making process","most proteins unavailable"
"ChZDSUhNMG9nS0VJQ0FnSURmNklpNEF3EAE","French Dip sandwich","gluten free"
"ChdDSUhNMG9nS0VJQ0FnSURmbExta3JBRRAB","chocolate Moo'd","watery"
"ChZDSUhNMG9nS0VJQ0FnSURmeHViaEh3EAE","machine","not working"
"ChdDSUhNMG9nS0VJQ0FnSURmNU5tWW5BRRAB","lemonade","DELICIOUS"
"ChZDSUhNMG9nS0VJQ0FnSURmMU9TRUN3EAE","veggies","cooked"
"ChZDSUhNMG9nS0VJQ0FnSURmeHViaEh3EAE","juice","unique"
"ChZDSUhNMG9nS0VJQ0FnSURmdktXdmJBEAE","service","recommend"
"ChRDSUhNMG9nS0VJQ0FnSURmdk5COBAB","cashier lady","rude"
"ChZDSUhNMG9nS0VJQ0FnSURmMnBmUU13EAE","",""
"ChdDSUhNMG9nS0VJQ0FnSURmNU5tWW5BRRAB","mac and cheese","good"
"ChZDSUhNMG9nS0VJQ0FnSURmb3JTUlR3EAE","customer","uncompensated"
"ChdDSUhNMG9nS0VJQ0FnSURmM01xSDZnRRAB","kitchen staff","three people"
"ChdDSUhNMG9nS0VJQ0FnSURmdlBPMS1nRRAB","conversation","distracting"
"ChZDSUhNMG9nS0VJQ0FnSURmZ3RYd1l3EAE","Stack","filling"
"ChZDSUhNMG9nS0VJQ0FnSURmdXFPckFREAE","location","secret menu drink"
"ChZDSUhNMG9nS0VJQ0FnSURmX0x2Y1ZREAE","process","skimped"
"ChdDSUhNMG9nS0VJQ0FnSURmNnQ3emh3RRAB","restaurant","busy"
"ChZDSUhNMG9nS0VJQ0FnSURmeE5qZ1BREAE","salads","love"
"ChZDSUhNMG9nS0VJQ0FnSURmeHBhcGVREAE","place and server","fine"
"ChZDSUhNMG9nS0VJQ0FnSURmNkp1SlpBEAE","quality","same"
"ChdDSUhNMG9nS0VJQ0FnSURmb3RubWdBRRAB","customers","in face"
"ChZDSUhNMG9nS0VJQ0FnSURmM08yVmNBEAE","tomatoes","missing"
"ChdDSUhNMG9nS0VJQ0FnSURmNU5tWW5BRRAB","sandwiches","wonderful"
"ChZDSUhNMG9nS0VJQ0FnSURmNXRDREZREAE","drinks","peach"
"ChZDSUhNMG9nS0VJQ0FnSURmb3RqZ2JBEAE","competition","better"
"ChZDSUhNMG9nS0VJQ0FnSURmNk9meUtBEAE","Monroe","double size"
"ChdDSUhNMG9nS0VJQ0FnSURmbUp6Wmd3RRAB","curbside","waited 5 minutes"
"ChZDSUhNMG9nS0VJQ0FnSURmd3RlcU93EAE","servers","very nice"
"ChdDSUhNMG9nS0VJQ0FnSURmbFA3SXV3RRAB","cashier/manager","no thank you"
"ChZDSUhNMG9nS0VJQ0FnSURmX0x2Y1ZREAE","employees","struggling"
"ChZDSUhNMG9nS0VJQ0FnSURmMkpQQ1B3EAE","service","up to standards"
"ChdDSUhNMG9nS0VJQ0FnSUNoMk8zV2hBRRAB","customers","zero respect"
"ChZDSUhNMG9nS0VJQ0FnSURmNU5HMllBEAE","reviewer's experience","never seen nothing like it"
"ChZDSUhNMG9nS0VJQ0FnSURmNHFEaUZBEAE","treatment","grace"
"ChZDSUhNMG9nS0VJQ0FnSURmbUtiSU1nEAE","Jose","cool"
"ChdDSUhNMG9nS0VJQ0FnSURmbE8zS29nRRAB","turkey sandwich","10/10"
"ChdDSUhNMG9nS0VJQ0FnSURmdXIyQTd3RRAB","woman with braids","kind"
"ChZDSUhNMG9nS0VJQ0FnSURmNU5HMllBEAE","restaurant","throw most of what you want away"
"ChdDSUhNMG9nS0VJQ0FnSURmLW92aWhnRRAB","hair","partially blonde"
"ChZDSUhNMG9nS0VJQ0FnSURmMnJqRmF3EAE","manager","lack of care"
"ChdDSUhNMG9nS0VJQ0FnSURmbkpfdnRnRRAB","reviewer","experienced"
"ChdDSUhNMG9nS0VJQ0FnSURmM01xSDZnRRAB","wait","almost a half hour"
"ChdDSUhNMG9nS0VJQ0FnSURmeEl6MTJBRRAB","Moe’s","worst"
"ChZDSUhNMG9nS0VJQ0FnSURnaGREUmV3EAE","atmosphere","atmosphere"
"ChZDSUhNMG9nS0VJQ0FnSURmdU9DNVZREAE","chili","supermarket-like"
"ChZDSUhNMG9nS0VJQ0FnSURmeFBmM1lnEAE","price","cheap"
"ChdDSUhNMG9nS0VJQ0FnSURmNE5fa3FRRRAB","experience","disappointing"
"ChdDSUhNMG9nS0VJQ0FnSURmdXU3TTl3RRAB","workers","short staffed"
"ChdDSUhNMG9nS0VJQ0FnSURmaEp2Q253RRAB","online order window","good"
"ChZDSUhNMG9nS0VJQ0FnSURmdU9DNVZREAE","New Yorker","missing pastrami"
"ChdDSUhNMG9nS0VJQ0FnSURJeDlUS2xnRRAB","restaurant","disappointed"
"ChZDSUhNMG9nS0VJQ0FnSURmd3RXV0pnEAE","wait","long"
"ChZDSUhNMG9nS0VJQ0FnSURmLXNteFhBEAE","order process","bad experience"
"ChdDSUhNMG9nS0VJQ0FnSURmeHQ3djB3RRAB","Reubens","good"
"ChdDSUhNMG9nS0VJQ0FnSURmc05QeC13RRAB","portion size","reasonable"
"ChdDSUhNMG9nS0VJQ0FnSUM2M2UtOXdnRRAB","selection","delicious"
"ChZDSUhNMG9nS0VJQ0FnSURmdklxaUpnEAE","salad","great"
"ChZDSUhNMG9nS0VJQ0FnSURmbktMSk9nEAE","treatment","considerate"
"ChdDSUhNMG9nS0VJQ0FnSURmNklyNDlnRRAB","address","forced"
"ChdDSUhNMG9nS0VJQ0FnSUNIbXBXQ3B3RRAB","personalities of staff and manager","warm"
"ChZDSUhNMG9nS0VJQ0FnSURmb3VfX0R3EAE","mistakes","right"
"ChZDSUhNMG9nS0VJQ0FnSURmdXJQbmJ3EAE","staff","nice"
"ChdDSUhNMG9nS0VJQ0FnSURmd3B6YV9RRRAB","answering","dairy questions"
"ChdDSUhNMG9nS0VJQ0FnSURmbExta3JBRRAB","customer","disappointed"
"ChZDSUhNMG9nS0VJQ0FnSURBc29hTmZBEAE","order","never told"
"ChdDSUhNMG9nS0VJQ0FnSURmdXU3TTl3RRAB","service","poor"
"ChdDSUhNMG9nS0VJQ0FnSURmdXRtTTh3RRAB","food","really good"
"ChZDSUhNMG9nS0VJQ0FnSURmeExLVExnEAE","salt","few"
"ChZDSUhNMG9nS0VJQ0FnSURmLXNteFhBEAE","employees","poor service"
"ChZDSUhNMG9nS0VJQ0FnSURmNXBEX1RREAE","size","bigger"
"ChdDSUhNMG9nS0VJQ0FnSURmdW9EWXh3RRAB","nacho platter","to go"
"ChZDSUhNMG9nS0VJQ0FnSURBc29hTmZBEAE","statement","how"
"ChZDSUhNMG9nS0VJQ0FnSURmeExLVExnEAE","sugar cinnamon pretzels/bites","out of"
"ChZDSUhNMG9nS0VJQ0FnSURmNko2UEd3EAE","sandwich","similar"
"ChdDSUhNMG9nS0VJQ0FnSURmdkxuLXhRRRAB","sandwiches","over priced"
"ChZDSUhNMG9nS0VJQ0FnSURmZ3ZlaktBEAE","girl","silent"
"ChZDSUhNMG9nS0VJQ0FnSURmZ3RYd1l3EAE","Stack","best"
"ChZDSUhNMG9nS0VJQ0FnSURmX0plbUhnEAE","bread","hurt my mouth"
"ChZDSUhNMG9nS0VJQ0FnSURmcW9PdkJ3EAE","customer","going back"
"ChZDSUhNMG9nS0VJQ0FnSURmeG9PV2JBEAE","sandwich","skimp on the meat"
"ChZDSUhNMG9nS0VJQ0FnSURmNklpNEF3EAE","container of broccoli","small"
"ChdDSUhNMG9nS0VJQ0FnSURmLXBpZHlnRRAB","dessert option","bummed"
"ChdDSUhNMG9nS0VJQ0FnSURmZ3UyUS13RRAB","customer","disappointed"
"ChZDSUhNMG9nS0VJQ0FnSURmdU9DNVZREAE","McAlister's","not recommend"
"ChdDSUhNMG9nS0VJQ0FnSURmNk5yTjJBRRAB","restaurant design","nice"
"ChdDSUhNMG9nS0VJQ0FnSURmbU9EaWtBRRAB","staff","unmotivated"
"ChZDSUhNMG9nS0VJQ0FnSURmaVBhbURnEAE","smoothie","$10"
"ChZDSUhNMG9nS0VJQ0FnSURmbU1DdFVnEAE","availability","no pretzels"
"ChZDSUhNMG9nS0VJQ0FnSURmcW9PdkJ3EAE","customer","standing"
"ChZDSUhNMG9nS0VJQ0FnSURmNlB1aGF3EAE","time for order","long"
"ChdDSUhNMG9nS0VJQ0FnSURmbFA3SXV3RRAB","cashier/manager","not welcoming"
"ChdDSUhNMG9nS0VJQ0FnSURmeHNhdmxBRRAB","energy","positive"
"ChdDSUhNMG9nS0VJQ0FnSURmZ3JPNDV3RRAB","guacamole","extra"
"ChdDSUhNMG9nS0VJQ0FnSURmM01xSDZnRRAB","cashier","very nice"
"ChdDSUhNMG9nS0VJQ0FnSURmeHJMcnFnRRAB","sandwich","expensive"
"ChZDSUhNMG9nS0VJQ0FnSURmNUo2NEpnEAE","franchisees","no oversight"
"ChdDSUhNMG9nS0VJQ0FnSURmd3B6YV9RRRAB","answering","great"
"ChdDSUhNMG9nS0VJQ0FnSURmNU5tWW5BRRAB","brookie","soft"
"ChZDSUhNMG9nS0VJQ0FnSURmc1A3bVhnEAE","location","one person working"
"ChZDSUhNMG9nS0VJQ0FnSURmd3F5RlV3EAE","aware of the customers","great"
"ChZDSUhNMG9nS0VJQ0FnSURmLU1LbEFREAE","staff","not accept"
"ChdDSUhNMG9nS0VJQ0FnSURmbUo2OF9nRRAB","sandwich","overpriced"
"ChdDSUhNMG9nS0VJQ0FnSURmX04ta3RRRRAB","food preparation","very quickly"
"ChdDSUhNMG9nS0VJQ0FnSURmc05QeC13RRAB","customers","put off"
"ChZDSUhNMG9nS0VJQ0FnSURmX0tlVU5nEAE","","big corporate greed"
"ChZDSUhNMG9nS0VJQ0FnSURmeHEyTU1REAE","bowl","out of everything"
"ChdDSUhNMG9nS0VJQ0FnSURmd29pNC1RRRAB","counter staff","costly"
"ChZDSUhNMG9nS0VJQ0FnSURmLXNteFhBEAE","restaurant","untrustworthy"
"ChZDSUhNMG9nS0VJQ0FnSURBc29hTmZBEAE","restaurant","often"
"ChZDSUhNMG9nS0VJQ0FnSURmLW82WlZREAE","restaurant experience","suspect it has something to do with my race"
"ChdDSUhNMG9nS0VJQ0FnSURmeHZlUW9RRRAB","door","callously lock"
"ChdDSUhNMG9nS0VJQ0FnSURmeHVMRy13RRAB","sandwich","Italian"
"ChdDSUhNMG9nS0VJQ0FnSURmNE5fa3FRRRAB","well-prepared food","fresh"
"ChZDSUhNMG9nS0VJQ0FnSURmdXJQbmJ3EAE","dining room","not warm and inviting"
"ChdDSUhNMG9nS0VJQ0FnSURmdXRtMHh3RRAB","customer","recommend"
"ChdDSUhNMG9nS0VJQ0FnSURmdXRtMHh3RRAB","Briana","kind"
"ChdDSUhNMG9nS0VJQ0FnSURma3BiNHJ3RRAB","drink","new drink deal"
"ChdDSUhNMG9nS0VJQ0FnSURmdW9PdnV3RRAB","dining room","clean"
"ChZDSUhNMG9nS0VJQ0FnSURmMnRtcEp3EAE","Auntie Anne’s","open for business"
"ChdDSUhNMG9nS0VJQ0FnSURmc05QeC13RRAB","burritos","3x"
"ChZDSUhNMG9nS0VJQ0FnSURmLW8tU0RnEAE","1 Mac and cheese","missing"
"ChZDSUhNMG9nS0VJQ0FnSURmNk9meUtBEAE","Monroe's store","make"
"ChZDSUhNMG9nS0VJQ0FnSURmNHFEaUZBEAE","man","full time"
"ChZDSUhNMG9nS0VJQ0FnSURmcFBfTmJnEAE","restaurant","not busy"
"ChZDSUhNMG9nS0VJQ0FnSURmNHFEaUZBEAE","treatment","care"
"ChdDSUhNMG9nS0VJQ0FnSURmdXIyQTd3RRAB","woman with braids","efficient"
"ChZDSUhNMG9nS0VJQ0FnSURmdXBxN1BBEAE","quality","poor"
"ChdDSUhNMG9nS0VJQ0FnSURmbHNTRGp3RRAB","store","cramped"
"ChZDSUhNMG9nS0VJQ0FnSURmbkxmU0J3EAE","employee","turn a customer away"
"ChdDSUhNMG9nS0VJQ0FnSURmbXVQYzZ3RRAB","food quality","no consistency"
"ChZDSUhNMG9nS0VJQ0FnSURmNk9meUtBEAE","sweet tea","run out of"
"ChZDSUhNMG9nS0VJQ0FnSURmNHFEZVhnEAE","employment staff","try to fix"
"ChZDSUhNMG9nS0VJQ0FnSURmMU9TRUN3EAE","baked potatoes","seasoned"
"ChdDSUhNMG9nS0VJQ0FnSURmeEl6MTJBRRAB","chips","old oil"
"ChZDSUhNMG9nS0VJQ0FnSURmbU9YdkxnEAE","Chicken Avocado Cobb","dropped on the floor"
"ChdDSUhNMG9nS0VJQ0FnSURmaEp2Q253RRAB","tea","some"
"ChdDSUhNMG9nS0VJQ0FnSURmbEtEZnlnRRAB","food","sick feeling"
"ChdDSUhNMG9nS0VJQ0FnSURmNkp1ZG5nRRAB","restaurant","fast casual"
"ChdDSUhNMG9nS0VJQ0FnSURmeEl6MTJBRRAB","inside","not like a Moe’s"
"ChZDSUhNMG9nS0VJQ0FnSURmMkpQQ1B3EAE","dining area","dirty"
"ChZDSUhNMG9nS0VJQ0FnSURmNG95V1J3EAE","working conditions","unsafe"
"ChdDSUhNMG9nS0VJQ0FnSURmNHRhUm13RRAB","food","delicious"
"ChZDSUhNMG9nS0VJQ0FnSUNPMnJPd0pBEAE","service","helpful"
"ChdDSUhNMG9nS0VJQ0FnSURmeHBYMHNBRRAB","worker's mood","damper"
"ChdDSUhNMG9nS0VJQ0FnSURmNk5yTjJBRRAB","Deli","real"
"ChZDSUhNMG9nS0VJQ0FnSURmcEtfN0RREAE","roll","cold"
"ChZDSUhNMG9nS0VJQ0FnSURmLXJDS0JBEAE","Moe's","more Chipotle like"
"ChZDSUhNMG9nS0VJQ0FnSURmbkxmU0J3EAE","employee","not open yet"
"ChZDSUhNMG9nS0VJQ0FnSURmdXRPRUJREAE","nuts","sprinkle"
"ChZDSUhNMG9nS0VJQ0FnSURmNG95V1J3EAE","restaurant","gas leak"
"ChdDSUhNMG9nS0VJQ0FnSURmbExta3JBRRAB","chocolate Moo'd","tasteless"
"ChdDSUhNMG9nS0VJQ0FnSURmLXBpZHlnRRAB","varieties","simple"
"ChZDSUhNMG9nS0VJQ0FnSURmNHFEaUZBEAE","man","amazing"
"ChZDSUhNMG9nS0VJQ0FnSUNMMWJfNUdREAE","inside","not cleaned well"
"ChZDSUhNMG9nS0VJQ0FnSUNmMzV5UGFREAE","food","not the same"
"ChZDSUhNMG9nS0VJQ0FnSUNmMzVTVVdnEAE","bug","moving"
"ChZDSUhNMG9nS0VJQ0FnSUQyaU1YSFdBEAE","order","not what I asked for"
"ChdDSUhNMG9nS0VJQ0FnSURmNE82dnd3RRAB","employees","lazy"
"ChZDSUhNMG9nS0VJQ0FnSUNhMXY3QlVnEAE","parking","plenty"
"ChZDSUhNMG9nS0VJQ0FnSUNmLS1UUVF3EAE","price","ridiculous"
"ChdDSUhNMG9nS0VJQ0FnSUNmMjZhUnVBRRAB","pretzels","best"
"ChZDSUhNMG9nS0VJQ0FnSUNmbzRUY1hREAE","good ones","many"
"ChdDSUhNMG9nS0VJQ0FnSUNuMTRuZTdBRRAB","sweet tea","awesome"
"ChZDSUhNMG9nS0VJQ0FnSUNmejdLb2FREAE","moes","not clean"
"ChdDSUhNMG9nS0VJQ0FnSUNmM2NLenNnRRAB","deli style place","good"
